title,summary,published,authors,pdf_url,category
"Entropy, Thermodynamics and the Geometrization of the Language Model","In this paper, we discuss how pure mathematics and theoretical physics can be
applied to the study of language models. Using set theory and analysis, we
formulate mathematically rigorous definitions of language models, and introduce
the concept of the moduli space of distributions for a language model. We
formulate a generalized distributional hypothesis using functional analysis and
topology. We define the entropy function associated with a language model and
show how it allows us to understand many interesting phenomena in languages. We
argue that the zero points of the entropy function and the points where the
entropy is close to 0 are the key obstacles for an LLM to approximate an
intelligent language model, which explains why good LLMs need billions of
parameters. Using the entropy function, we formulate a conjecture about AGI.
  Then, we show how thermodynamics gives us an immediate interpretation to
language models. In particular we will define the concepts of partition
function, internal energy and free energy for a language model, which offer
insights into how language models work. Based on these results, we introduce a
general concept of the geometrization of language models and define what is
called the Boltzmann manifold. While the current LLMs are the special cases of
the Boltzmann manifold.",2024-07-30,Wenzhe Yang,http://arxiv.org/pdf/2407.21092v1,cs.CL
Abstractive summarization from Audio Transcription,"Currently, large language models are gaining popularity, their achievements
are used in many areas, ranging from text translation to generating answers to
queries. However, the main problem with these new machine learning algorithms
is that training such models requires large computing resources that only large
IT companies have. To avoid this problem, a number of methods (LoRA,
quantization) have been proposed so that existing models can be effectively
fine-tuned for specific tasks. In this paper, we propose an E2E (end to end)
audio summarization model using these techniques. In addition, this paper
examines the effectiveness of these approaches to the problem under
consideration and draws conclusions about the applicability of these methods.",2024-07-30,Ilia Derkach,http://arxiv.org/pdf/2408.04639v1,cs.CL
Enabling Contextual Soft Moderation on Social Media through Contrastive Textual Deviation,"Automated soft moderation systems are unable to ascertain if a post supports
or refutes a false claim, resulting in a large number of contextual false
positives. This limits their effectiveness, for example undermining trust in
health experts by adding warnings to their posts or resorting to vague warnings
instead of granular fact-checks, which result in desensitizing users. In this
paper, we propose to incorporate stance detection into existing automated
soft-moderation pipelines, with the goal of ruling out contextual false
positives and providing more precise recommendations for social media content
that should receive warnings. We develop a textual deviation task called
Contrastive Textual Deviation (CTD) and show that it outperforms existing
stance detection approaches when applied to soft moderation.We then integrate
CTD into the stateof-the-art system for automated soft moderation Lambretta,
showing that our approach can reduce contextual false positives from 20% to
2.1%, providing another important building block towards deploying reliable
automated soft moderation tools on social media.",2024-07-30,"Pujan Paudel, Mohammad Hammas Saeed, Rebecca Auger, Chris Wells, Gianluca Stringhini",http://arxiv.org/pdf/2407.20910v1,cs.CL
Automated Review Generation Method Based on Large Language Models,"Literature research, vital for scientific work, faces the challenge of
surging information volumes exceeding researchers' processing capabilities. We
present an automated review generation method based on large language models
(LLMs) to overcome efficiency bottlenecks and reduce cognitive load. Our
statistically validated evaluation framework demonstrates that the generated
reviews match or exceed manual quality, offering broad applicability across
research fields without requiring users' domain knowledge. Applied to propane
dehydrogenation (PDH) catalysts, our method swiftly analyzed 343 articles,
averaging seconds per article per LLM account, producing comprehensive reviews
spanning 35 topics, with extended analysis of 1041 articles providing insights
into catalysts' properties. Through multi-layered quality control, we
effectively mitigated LLMs' hallucinations, with expert verification confirming
accuracy and citation integrity while demonstrating hallucination risks reduced
to below 0.5\% with 95\% confidence. Released Windows application enables
one-click review generation, enhancing research productivity and literature
recommendation efficiency while setting the stage for broader scientific
explorations.",2024-07-30,"Shican Wu, Xiao Ma, Dehui Luo, Lulu Li, Xiangcheng Shi, Xin Chang, Xiaoyun Lin, Ran Luo, Chunlei Pei, Changying Du, Zhi-Jian Zhao, Jinlong Gong",http://arxiv.org/pdf/2407.20906v5,cs.CL
Faithful and Plausible Natural Language Explanations for Image Classification: A Pipeline Approach,"Existing explanation methods for image classification struggle to provide
faithful and plausible explanations. This paper addresses this issue by
proposing a post-hoc natural language explanation method that can be applied to
any CNN-based classifier without altering its training process or affecting
predictive performance. By analysing influential neurons and the corresponding
activation maps, the method generates a faithful description of the
classifier's decision process in the form of a structured meaning
representation, which is then converted into text by a language model. Through
this pipeline approach, the generated explanations are grounded in the neural
network architecture, providing accurate insight into the classification
process while remaining accessible to non-experts. Experimental results show
that the NLEs constructed by our method are significantly more plausible and
faithful. In particular, user interventions in the neural network structure
(masking of neurons) are three times more effective than the baselines.",2024-07-30,"Adam Wojciechowski, Mateusz Lango, Ondrej Dusek",http://arxiv.org/pdf/2407.20899v3,cs.CL
"Effects of a Prompt Engineering Intervention on Undergraduate Students' AI Self-Efficacy, AI Knowledge and Prompt Engineering Ability: A Mixed Methods Study","Prompt engineering is critical for effective interaction with large language
models (LLMs) such as ChatGPT. However, efforts to teach this skill to students
have been limited. This study designed and implemented a prompt engineering
intervention, examining its influence on undergraduate students' AI
self-efficacy, AI knowledge, and proficiency in creating effective prompts. The
intervention involved 27 students who participated in a 100-minute workshop
conducted during their history course at a university in Hong Kong. During the
workshop, students were introduced to prompt engineering strategies, which they
applied to plan the course's final essay task. Multiple data sources were
collected, including students' responses to pre- and post-workshop
questionnaires, pre- and post-workshop prompt libraries, and written
reflections. The study's findings revealed that students demonstrated a higher
level of AI self-efficacy, an enhanced understanding of AI concepts, and
improved prompt engineering skills because of the intervention. These findings
have implications for AI literacy education, as they highlight the importance
of prompt engineering training for specific higher education use cases. This is
a significant shift from students haphazardly and intuitively learning to
engineer prompts. Through prompt engineering education, educators can faciitate
students' effective navigation and leverage of LLMs to support their
coursework.",2024-07-30,"David James Woo, Deliang Wang, Tim Yung, Kai Guo",http://arxiv.org/pdf/2408.07302v1,cs.CL
Effective Black Box Testing of Sentiment Analysis Classification Networks,"Transformer-based neural networks have demonstrated remarkable performance in
natural language processing tasks such as sentiment analysis. Nevertheless, the
issue of ensuring the dependability of these complicated architectures through
comprehensive testing is still open. This paper presents a collection of
coverage criteria specifically designed to assess test suites created for
transformer-based sentiment analysis networks. Our approach utilizes input
space partitioning, a black-box method, by considering emotionally relevant
linguistic features such as verbs, adjectives, adverbs, and nouns. In order to
effectively produce test cases that encompass a wide range of emotional
elements, we utilize the k-projection coverage metric. This metric minimizes
the complexity of the problem by examining subsets of k features at the same
time, hence reducing dimensionality. Large language models are employed to
generate sentences that display specific combinations of emotional features.
The findings from experiments obtained from a sentiment analysis dataset
illustrate that our criteria and generated tests have led to an average
increase of 16\% in test coverage. In addition, there is a corresponding
average decrease of 6.5\% in model accuracy, showing the ability to identify
vulnerabilities. Our work provides a foundation for improving the dependability
of transformer-based sentiment analysis systems through comprehensive test
evaluation.",2024-07-30,"Parsa Karbasizadeh, Fathiyeh Faghih, Pouria Golshanrad",http://arxiv.org/pdf/2407.20884v1,cs.CL
Lyrics Transcription for Humans: A Readability-Aware Benchmark,"Writing down lyrics for human consumption involves not only accurately
capturing word sequences, but also incorporating punctuation and formatting for
clarity and to convey contextual information. This includes song structure,
emotional emphasis, and contrast between lead and background vocals. While
automatic lyrics transcription (ALT) systems have advanced beyond producing
unstructured strings of words and are able to draw on wider context, ALT
benchmarks have not kept pace and continue to focus exclusively on words. To
address this gap, we introduce Jam-ALT, a comprehensive lyrics transcription
benchmark. The benchmark features a complete revision of the JamendoLyrics
dataset, in adherence to industry standards for lyrics transcription and
formatting, along with evaluation metrics designed to capture and assess the
lyric-specific nuances, laying the foundation for improving the readability of
lyrics. We apply the benchmark to recent transcription systems and present
additional error analysis, as well as an experimental comparison with a
classical music dataset.",2024-07-30,"Ondřej Cífka, Hendrik Schreiber, Luke Miner, Fabian-Robert Stöter",http://arxiv.org/pdf/2408.06370v1,cs.CL
SynthVLM: High-Efficiency and High-Quality Synthetic Data for Vision Language Models,"Vision-Language Models (VLMs) have recently emerged, demonstrating remarkable
vision-understanding capabilities. However, training these models requires
large-scale datasets, which brings challenges related to efficiency,
effectiveness, quality, and privacy of web data. In this paper, we introduce
SynthVLM, a novel data synthesis and curation method for generating
image-caption pairs. Unlike traditional methods, where captions are generated
from images, SynthVLM utilizes advanced diffusion models and high-quality
captions to automatically synthesize and select high-resolution images from
text descriptions, thereby creating precisely aligned image-text pairs. To
demonstrate the power of SynthVLM, we introduce SynthVLM-100K, a high-quality
dataset consisting of 100,000 curated and synthesized image-caption pairs. In
both model and human evaluations, SynthVLM-100K outperforms traditional
real-world datasets. Leveraging this dataset, we develop a new family of
multimodal large language models (MLLMs), SynthVLM-7B and SynthVLM-13B, which
achieve state-of-the-art (SOTA) performance on various vision
question-answering (VQA) tasks. Notably, our models outperform LLaVA across
most metrics with only 18\% pretrain data. Furthermore, SynthVLM-7B and
SynthVLM-13B attain SOTA performance on the MMLU benchmark, demonstrating that
the high-quality SynthVLM-100K dataset preserves language abilities. To
facilitate future research, our dataset and the complete data generating and
curating methods are open-sourced at
https://github.com/starriver030515/SynthVLM.",2024-07-30,"Zheng Liu, Hao Liang, Bozhou Li, Tianyi Bai, Wentao Xiong, Chong Chen, Conghui He, Wentao Zhang, Bin Cui",http://arxiv.org/pdf/2407.20756v4,cs.CL
JaColBERTv2.5: Optimising Multi-Vector Retrievers to Create State-of-the-Art Japanese Retrievers with Constrained Resources,"Neural Information Retrieval has advanced rapidly in high-resource languages,
but progress in lower-resource ones such as Japanese has been hindered by data
scarcity, among other challenges. Consequently, multilingual models have
dominated Japanese retrieval, despite their computational inefficiencies and
inability to capture linguistic nuances. While recent multi-vector monolingual
models like JaColBERT have narrowed this gap, they still lag behind
multilingual methods in large-scale evaluations. This work addresses the
suboptimal training methods of multi-vector retrievers in lower-resource
settings, focusing on Japanese. We systematically evaluate and improve key
aspects of the inference and training settings of JaColBERT, and more broadly,
multi-vector models. We further enhance performance through a novel checkpoint
merging step, showcasing it to be an effective way of combining the benefits of
fine-tuning with the generalization capabilities of the original checkpoint.
Building on our analysis, we introduce a novel training recipe, resulting in
the JaColBERTv2.5 model. JaColBERTv2.5, with only 110 million parameters and
trained in under 15 hours on 4 A100 GPUs, significantly outperforms all
existing methods across all common benchmarks, reaching an average score of
0.754, significantly above the previous best of 0.720. To support future
research, we make our final models, intermediate checkpoints and all data used
publicly available.",2024-07-30,Benjamin Clavié,http://arxiv.org/pdf/2407.20750v1,cs.CL
Meltemi: The first open Large Language Model for Greek,"We describe the development and capabilities of Meltemi 7B, the first open
Large Language Model for the Greek language. Meltemi 7B has 7 billion
parameters and is trained on a 40 billion token Greek corpus. For the
development of Meltemi 7B, we adapt Mistral, by continuous pretraining on the
Greek Corpus. Meltemi 7B contains up-to-date information up to September 2023.
Furthermore, we have translated and curated a Greek instruction corpus, which
has been used for the instruction-tuning of a chat model, named Meltemi 7B
Instruct. Special care has been given to the alignment and the removal of toxic
content for the Meltemi 7B Instruct. The developed models are evaluated on a
broad set of collected evaluation corpora, and examples of prompts and
responses are presented. Both Meltemi 7B and Meltemi 7B Instruct are available
at https://huggingface.co/ilsp under the Apache 2.0 license.",2024-07-30,"Leon Voukoutis, Dimitris Roussis, Georgios Paraskevopoulos, Sokratis Sofianopoulos, Prokopis Prokopidis, Vassilis Papavasileiou, Athanasios Katsamanis, Stelios Piperidis, Vassilis Katsouros",http://arxiv.org/pdf/2407.20743v1,cs.CL
Adapting Safe-for-Work Classifier for Malaysian Language Text: Enhancing Alignment in LLM-Ops Framework,"As large language models (LLMs) become increasingly integrated into
operational workflows (LLM-Ops), there is a pressing need for effective
guardrails to ensure safe and aligned interactions, including the ability to
detect potentially unsafe or inappropriate content across languages. However,
existing safe-for-work classifiers are primarily focused on English text. To
address this gap for the Malaysian language, we present a novel safe-for-work
text classifier tailored specifically for Malaysian language content. By
curating and annotating a first-of-its-kind dataset of Malaysian text spanning
multiple content categories, we trained a classification model capable of
identifying potentially unsafe material using state-of-the-art natural language
processing techniques. This work represents an important step in enabling safer
interactions and content filtering to mitigate potential risks and ensure
responsible deployment of LLMs. To maximize accessibility and promote further
research towards enhancing alignment in LLM-Ops for the Malaysian context, the
model is publicly released at
https://huggingface.co/malaysia-ai/malaysian-sfw-classifier.",2024-07-30,"Aisyah Razak, Ariff Nazhan, Kamarul Adha, Wan Adzhar Faiq Adzlan, Mas Aisyah Ahmad, Ammar Azman",http://arxiv.org/pdf/2407.20729v1,cs.CL
Industrial-Grade Smart Troubleshooting through Causal Technical Language Processing: a Proof of Concept,"This paper describes the development of a causal diagnosis approach for
troubleshooting an industrial environment on the basis of the technical
language expressed in Return on Experience records. The proposed method
leverages the vectorized linguistic knowledge contained in the distributed
representation of a Large Language Model, and the causal associations entailed
by the embedded failure modes and mechanisms of the industrial assets. The
paper presents the elementary but essential concepts of the solution, which is
conceived as a causality-aware retrieval augmented generation system, and
illustrates them experimentally on a real-world Predictive Maintenance setting.
Finally, it discusses avenues of improvement for the maturity of the utilized
causal technology to meet the robustness challenges of increasingly complex
scenarios in the industry.",2024-07-30,"Alexandre Trilla, Ossee Yiboe, Nenad Mijatovic, Jordi Vitrià",http://arxiv.org/pdf/2407.20700v1,cs.CL
CultureVo: The Serious Game of Utilizing Gen AI for Enhancing Cultural Intelligence,"CultureVo, Inc. has developed the Integrated Culture Learning Suite (ICLS) to
deliver foundational knowledge of world cultures through a combination of
interactive lessons and gamified experiences. This paper explores how
Generative AI powered by open source Large Langauge Models are utilized within
the ICLS to enhance cultural intelligence. The suite employs Generative AI
techniques to automate the assessment of learner knowledge, analyze behavioral
patterns, and manage interactions with non-player characters using real time
learner assessment. Additionally, ICLS provides contextual hint and recommend
course content by assessing learner proficiency, while Generative AI
facilitates the automated creation and validation of educational content.",2024-07-30,"Ajita Agarwala, Anupam Purwar, Viswanadhasai Rao",http://arxiv.org/pdf/2407.20685v2,cs.CL
Label-Guided Prompt for Multi-label Few-shot Aspect Category Detection,"Multi-label few-shot aspect category detection aims at identifying multiple
aspect categories from sentences with a limited number of training instances.
The representation of sentences and categories is a key issue in this task.
Most of current methods extract keywords for the sentence representations and
the category representations. Sentences often contain many category-independent
words, which leads to suboptimal performance of keyword-based methods. Instead
of directly extracting keywords, we propose a label-guided prompt method to
represent sentences and categories. To be specific, we design label-specific
prompts to represent sentences by combining crucial contextual and semantic
information. Further, the label is introduced into a prompt to obtain category
descriptions by utilizing a large language model. This kind of category
descriptions contain the characteristics of the aspect categories, guiding the
construction of discriminative category prototypes. Experimental results on two
public datasets show that our method outperforms current state-of-the-art
methods with a 3.86% - 4.75% improvement in the Macro-F1 score.",2024-07-30,"ChaoFeng Guan, YaoHui Zhu, Yu Bai, LingYun Wang",http://arxiv.org/pdf/2407.20673v1,cs.CL
ArabicNLU 2024: The First Arabic Natural Language Understanding Shared Task,"This paper presents an overview of the Arabic Natural Language Understanding
(ArabicNLU 2024) shared task, focusing on two subtasks: Word Sense
Disambiguation (WSD) and Location Mention Disambiguation (LMD). The task aimed
to evaluate the ability of automated systems to resolve word ambiguity and
identify locations mentioned in Arabic text. We provided participants with
novel datasets, including a sense-annotated corpus for WSD, called SALMA with
approximately 34k annotated tokens, and the IDRISI-DA dataset with 3,893
annotations and 763 unique location mentions. These are challenging tasks. Out
of the 38 registered teams, only three teams participated in the final
evaluation phase, with the highest accuracy being 77.8% for WSD and the highest
MRR@1 being 95.0% for LMD. The shared task not only facilitated the evaluation
and comparison of different techniques, but also provided valuable insights and
resources for the continued advancement of Arabic NLU technologies.",2024-07-30,"Mohammed Khalilia, Sanad Malaysha, Reem Suwaileh, Mustafa Jarrar, Alaa Aljabari, Tamer Elsayed, Imed Zitouni",http://arxiv.org/pdf/2407.20663v1,cs.CL
Prompt-Driven Contrastive Learning for Transferable Adversarial Attacks,"Recent vision-language foundation models, such as CLIP, have demonstrated
superior capabilities in learning representations that can be transferable
across diverse range of downstream tasks and domains. With the emergence of
such powerful models, it has become crucial to effectively leverage their
capabilities in tackling challenging vision tasks. On the other hand, only a
few works have focused on devising adversarial examples that transfer well to
both unknown domains and model architectures. In this paper, we propose a novel
transfer attack method called PDCL-Attack, which leverages the CLIP model to
enhance the transferability of adversarial perturbations generated by a
generative model-based attack framework. Specifically, we formulate an
effective prompt-driven feature guidance by harnessing the semantic
representation power of text, particularly from the ground-truth class labels
of input images. To the best of our knowledge, we are the first to introduce
prompt learning to enhance the transferable generative attacks. Extensive
experiments conducted across various cross-domain and cross-model settings
empirically validate our approach, demonstrating its superiority over
state-of-the-art methods.",2024-07-30,"Hunmin Yang, Jongoh Jeong, Kuk-Jin Yoon",http://arxiv.org/pdf/2407.20657v2,cs.CL
