docid,source,sourcetype,target,targettype,type
10,Bert,Author,High-Quality Kgs,Topic,AUTHORED
10,Ahan Bhatt,Author,High-Quality Kgs,Topic,AUTHORED
10,Nandan Vaghela,Author,High-Quality Kgs,Topic,AUTHORED
10,Kush Dudhia,Author,High-Quality Kgs,Topic,AUTHORED
10,Precision,Topic,High-Quality Kgs,Topic,RELATED_TO
10,Recall,Topic,High-Quality Kgs,Topic,RELATED_TO
10,F1-Score,Topic,High-Quality Kgs,Topic,RELATED_TO
10,Graph Edit Distance,Topic,High-Quality Kgs,Topic,RELATED_TO
10,Semantic Similarity,Topic,High-Quality Kgs,Topic,RELATED_TO
10,Kg Creation,Topic,Graphrags,Topic,RELATED_TO
10,Real-World Applications,Topic,Graphrags,Topic,RELATED_TO
10,Novel Approach,Topic,High-Quality Kgs,Topic,RELATED_TO
11,Graph Retrieval-Augmented Generation,Topic,Large Language Models,Topic,RELATED_TO
11,Graph Retrieval-Augmented Generation,Topic,Knowledge Graphs,Topic,RELATED_TO
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation,Paper,Knowledge Graphs,Topic,COVERS
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation,Paper,Weatherqa-Irish,Topic,INCLUDES
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation,Paper,Weatherqa-Sydney,Topic,INCLUDES
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation,Paper,Trafficqa-Tfnsw,Topic,INCLUDES
12,Graphrag,Topic,Gragpoison,Topic,RELATED_TO
12,Gragpoison,Topic,Jiacheng Liang,Author,AUTHORED
12,Gragpoison,Topic,Yuhui Wang,Author,AUTHORED
12,Gragpoison,Topic,Changjiang Li,Author,AUTHORED
12,Gragpoison,Topic,Rongyi Zhu,Author,AUTHORED
12,Gragpoison,Topic,Tanqiu Jiang,Author,AUTHORED
12,Gragpoison,Topic,Neil Gong,Author,AUTHORED
12,Gragpoison,Topic,Ting Wang,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Yang Xiong,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Ruichen Zhang,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Yinqiu Liu,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Dusit Niyato,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Zehui Xiong,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Yingchang Liang,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Shiwen Mao,Author,AUTHORED
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Retrieval Augmented Generation,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Knowledge Graphs,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Networking,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Intent-Driven Networks,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Spectrum Knowledge Maps,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Graphrag,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Channel Gain Prediction,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Network Optimizations,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Large Language Models,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Network Information,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Contextually Relevant Responses,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Accurate Retrieval,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Structured Knowledge Representation,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Hallucination,Topic,INCLUDES
13,When Graph Meets Retrieval Augmented Generation For Wireless Networks: A Tutorial And Case Study,Paper,Security Measures,Topic,INCLUDES
14,Gtr: Graph-Table-Rag For Cross-Table Question Answering,Paper,Mutlitableqa,Topic,INCLUDES
14,Gtr: Graph-Table-Rag For Cross-Table Question Answering,Paper,Graphrag,Topic,RELATED_TO
15,Hypergraphrag,Topic,Standard Retrieval-Augmented Generation,Topic,RELATED_TO
15,Hypergraphrag,Topic,Medicine,Topic,RELATED_TO
15,Hypergraphrag,Topic,Agriculture,Topic,RELATED_TO
15,Hypergraphrag,Topic,Computer Science,Topic,RELATED_TO
15,Hypergraphrag,Topic,Law,Topic,RELATED_TO
15,Hypergraphrag,Topic,Haoran Luo,Author,AUTHORED
15,Hypergraphrag,Topic,Haihong E,Author,AUTHORED
15,Hypergraphrag,Topic,Guanting Chen,Author,AUTHORED
15,Hypergraphrag,Topic,Yandan Zheng,Author,AUTHORED
15,Hypergraphrag,Topic,Xiaobao Wu,Author,AUTHORED
15,Hypergraphrag,Topic,Yikai Guo,Author,AUTHORED
15,Hypergraphrag,Topic,Qika Lin,Author,AUTHORED
15,Hypergraphrag,Topic,Yu Feng,Author,AUTHORED
15,Hypergraphrag,Topic,Zemin Kuang,Author,AUTHORED
15,Hypergraphrag,Topic,Meina Song,Author,AUTHORED
15,Hypergraphrag,Topic,Yifan Zhu,Author,AUTHORED
15,Hypergraphrag,Topic,Luu Anh Tuan,Author,AUTHORED
16,Graphrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
16,Graphrag,Topic,Large Language Models,Topic,RELATED_TO
16,Graphrag,Topic,Question-Focused Summarization,Topic,RELATED_TO
16,Darren Edge,Author,Graphrag,Topic,AUTHORED
16,Ha Trinh,Author,Graphrag,Topic,AUTHORED
16,Newman Cheng,Author,Graphrag,Topic,AUTHORED
16,Joshua Bradley,Author,Graphrag,Topic,AUTHORED
16,Alex Chao,Author,Graphrag,Topic,AUTHORED
16,Apurva Mody,Author,Graphrag,Topic,AUTHORED
16,Steven Truitt,Author,Graphrag,Topic,AUTHORED
16,Dasha Metropolitansky,Author,Graphrag,Topic,AUTHORED
16,Robert Osazuwa Ness,Author,Graphrag,Topic,AUTHORED
16,Jonathan Larson,Author,Graphrag,Topic,AUTHORED
17,Fastrag,Topic,Large Language Models,Topic,RELATED_TO
17,Fastrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
17,Fastrag,Topic,Vectorrag,Topic,RELATED_TO
17,Fastrag,Topic,Graphrag,Topic,RELATED_TO
17,Fastrag,Topic,Amar Abane,Author,AUTHORED
17,Fastrag,Topic,Anis Bekri,Author,AUTHORED
17,Fastrag,Topic,Abdella Battou,Author,AUTHORED
18,Noderag,Topic,Tianyang Xu,Author,AUTHORED
18,Noderag,Topic,Haojie Zheng,Author,AUTHORED
18,Noderag,Topic,Chengze Li,Author,AUTHORED
18,Noderag,Topic,Haoxiang Chen,Author,AUTHORED
18,Noderag,Topic,Yixin Liu,Author,AUTHORED
18,Noderag,Topic,Ruoxi Chen,Author,AUTHORED
18,Noderag,Topic,Lichao Sun,Author,AUTHORED
18,Noderag,Topic,Graphrag,Topic,RELATED_TO
18,Noderag,Topic,Lightrag,Topic,RELATED_TO
18,Noderag,Topic,Https://Github.Com/Terry-Xu-666/Noderag,Paper,COVERS
19,Graphrag,Topic,Large Language Models,Topic,RELATED_TO
19,Graphrag,Topic,External Knowledge Graphs,Topic,RELATED_TO
19,Polyg,Paper,Graphrag,Topic,COVERS
19,Polyg,Paper,User Questions,Topic,COVERS
19,Polyg,Paper,Four-Class Taxonomy,Topic,COVERS
19,Polyg,Paper,Sota Graphrag Methods,Topic,RELATED_TO
20,Structured-Graphrag,Topic,Soccer Data,Topic,COVERS
20,Structured-Graphrag,Topic,Zahra Sepasdar,Author,AUTHORED
20,Structured-Graphrag,Topic,Sushant Gautam,Author,AUTHORED
20,Structured-Graphrag,Topic,Cise Midoglu,Author,AUTHORED
20,Structured-Graphrag,Topic,Michael A Riegler,Author,AUTHORED
20,Structured-Graphrag,Topic,Pl Halvorsen,Author,AUTHORED
21,Ket-Rag,Topic,Graph-Rag,Topic,RELATED_TO
21,Ket-Rag,Topic,Biomedicine,Topic,RELATED_TO
21,Ket-Rag,Topic,Law,Topic,RELATED_TO
21,Ket-Rag,Topic,Political Science,Topic,RELATED_TO
21,Ket-Rag,Topic,Yiqian Huang,Author,AUTHORED
21,Ket-Rag,Topic,Shiqi Zhang,Author,AUTHORED
21,Ket-Rag,Topic,Xiaokui Xiao,Author,AUTHORED
22,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,Large Language Models,Topic,COVERS
22,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,Graphrag,Topic,COVERS
22,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,Goal-Oriented Graphs,Topic,COVERS
22,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,Minecraft Testbed,Topic,COVERS
22,Jonathan Leung,Author,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,AUTHORED
22,Yongjie Wang,Author,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,AUTHORED
22,Zhiqi Shen,Author,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper,AUTHORED
23,Hybridrag,Topic,Knowledge Graphs,Topic,INCLUDES
23,Hybridrag,Topic,Vectorrag,Topic,INCLUDES
23,Hybridrag,Topic,Q&A Systems,Topic,RELATED_TO
23,Hybridrag,Topic,Financial Documents,Topic,RELATED_TO
23,Bhaskarjit Sarmah,Author,Hybridrag,Topic,AUTHORED
23,Benika Hall,Author,Hybridrag,Topic,AUTHORED
23,Rohan Rao,Author,Hybridrag,Topic,AUTHORED
23,Sunil Patel,Author,Hybridrag,Topic,AUTHORED
23,Stefano Pasquali,Author,Hybridrag,Topic,AUTHORED
23,Dhagash Mehta,Author,Hybridrag,Topic,AUTHORED
23,Earnings Call Transcripts,Topic,Q&A Systems,Topic,RELATED_TO
23,Retrieval Augmented Generation,Topic,Hybridrag,Topic,RELATED_TO
23,Graphrag,Topic,Hybridrag,Topic,RELATED_TO
23,Experiments,Topic,Hybridrag,Topic,RELATED_TO
23,Retrieval Accuracy,Topic,Hybridrag,Topic,RELATED_TO
23,Answer Generation,Topic,Hybridrag,Topic,RELATED_TO
24,Evaluating The Performance Of Rag Methods For Conversational Ai In The Airport Domain,Paper,Conversational Ai,Topic,INCLUDES
24,Evaluating The Performance Of Rag Methods For Conversational Ai In The Airport Domain,Paper,Retrieval-Augmented Generation (Rag),Topic,INCLUDES
24,Retrieval-Augmented Generation (Rag),Topic,Traditional Rag,Topic,RELATED_TO
24,Retrieval-Augmented Generation (Rag),Topic,Sql Rag,Topic,RELATED_TO
24,Retrieval-Augmented Generation (Rag),Topic,Knowledge Graph-Based Rag (Graph Rag),Topic,RELATED_TO
24,Traditional Rag,Topic,Airport Safety,Topic,RELATED_TO
24,Sql Rag,Topic,Airport Safety,Topic,RELATED_TO
24,Knowledge Graph-Based Rag (Graph Rag),Topic,Airport Safety,Topic,RELATED_TO
25,Huixiangdou2,Paper,Graphrag,Topic,COVERS
25,Huixiangdou2,Paper,Large Language Models,Topic,RELATED_TO
25,Huixiangdou2,Paper,Dual-Level Retrieval,Topic,INCLUDES
25,Huixiangdou2,Paper,Logic-Based Retrieval,Topic,INCLUDES
25,Huixiangdou2,Paper,Fuzzy Matching,Topic,INCLUDES
25,Huixiangdou2,Paper,Structured Reasoning,Topic,INCLUDES
25,Huixiangdou2,Paper,Multi-Stage Verification Mechanism,Topic,INCLUDES
25,Huixiangdou2,Paper,Adaptive Retrieval,Topic,INCLUDES
26,Medgraphrag,Topic,Graphrag,Topic,COVERS
26,Medgraphrag,Topic,Large Language Model,Topic,COVERS
26,Medgraphrag,Topic,Triple Graph Construction,Topic,COVERS
26,Medgraphrag,Topic,U-Retrieval,Topic,COVERS
26,Medgraphrag,Topic,Medical Q&A Benchmarks,Topic,INCLUDES
26,Medgraphrag,Topic,Health Fact-Checking Benchmarks,Topic,INCLUDES
26,Medgraphrag,Topic,Long-Form Generation Dataset,Topic,INCLUDES
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Junde Wu,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Jiayuan Zhu,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Yunli Qi,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Jingkun Chen,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Min Xu,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Filippo Menolascina,Author,AUTHORED
26,Https://Github.Com/Medicinetoken/Medical-Graph-Rag,Paper,Vicente Grau,Author,AUTHORED
27,Advanced Rag Models With Graph Structures: Optimizing Complex Knowledge Reasoning And Text Generation,Paper,Graph Neural Network,Topic,INCLUDES
27,Advanced Rag Models With Graph Structures: Optimizing Complex Knowledge Reasoning And Text Generation,Paper,Natural Questions Dataset,Topic,INCLUDES
28,Large Language Models,Topic,Knowledge Graph-Based Retrieval-Augmented Generation,Topic,RELATED_TO
28,Knowledge Graph-Based Retrieval-Augmented Generation,Topic,Walk&Retrieve,Paper,COVERS
29,Split-Rag,Topic,Retrieval-Augmented Generation,Topic,COVERS
29,Split-Rag,Topic,Semantic Partitioning Of Linked Information,Topic,INCLUDES
29,Split-Rag,Topic,Type-Specialized Knowledge Base,Topic,INCLUDES
29,Split-Rag,Topic,Multi-Agent Rag,Topic,INCLUDES
29,Split-Rag,Topic,Hierarchical Merging Module,Topic,INCLUDES
29,Split-Rag,Topic,Knowledge Graphs,Topic,RELATED_TO
29,Split-Rag,Topic,Lightweight Llm Agents,Topic,RELATED_TO
29,Split-Rag,Topic,Subgraph-Derived Answers,Topic,RELATED_TO
29,Split-Rag,Topic,Experimental Validation,Topic,RELATED_TO
29,Ruiyi Yang,Author,Split-Rag,Topic,AUTHORED
29,Hao Xue,Author,Split-Rag,Topic,AUTHORED
29,Imran Razzak,Author,Split-Rag,Topic,AUTHORED
29,Hakim Hacid,Author,Split-Rag,Topic,AUTHORED
29,Flora D Salim,Author,Split-Rag,Topic,AUTHORED
30,Gnn-Rag,Paper,Knowledge Graphs,Topic,COVERS
30,Gnn-Rag,Paper,Question Answering Over Kgs,Topic,COVERS
30,Gnn-Rag,Paper,Large Language Models,Topic,COVERS
30,Gnn-Rag,Paper,Graph Neural Networks,Topic,COVERS
30,Gnn-Rag,Paper,Webqsp,Topic,RELATED_TO
30,Gnn-Rag,Paper,Cwq,Topic,RELATED_TO
30,Gnn-Rag,Paper,Gpt-4,Author,RELATED_TO
30,Gnn-Rag,Paper,7B Tuned Llm,Topic,RELATED_TO
30,Gnn-Rag,Paper,Multi-Hop Questions,Topic,RELATED_TO
30,Gnn-Rag,Paper,Multi-Entity Questions,Topic,RELATED_TO
31,Knowledge Graph-Augmented Large Language Models,Topic,Triple Context Restoration And Query-Driven Feedback,Topic,COVERS
31,Triple Context Restoration And Query-Driven Feedback,Topic,Manzong Huang,Author,AUTHORED
31,Triple Context Restoration And Query-Driven Feedback,Topic,Chenyang Bu,Author,AUTHORED
31,Triple Context Restoration And Query-Driven Feedback,Topic,Yi He,Author,AUTHORED
31,Triple Context Restoration And Query-Driven Feedback,Topic,Xindong Wu,Author,AUTHORED
31,Triple Context Restoration And Query-Driven Feedback,Topic,Graphrag,Topic,RELATED_TO
31,Triple Context Restoration And Query-Driven Feedback,Topic,Five Benchmark Question-Answering Datasets,Topic,INCLUDES
31,Triple Context Restoration And Query-Driven Feedback,Topic,29.1% Improvement In Exact Match,Topic,RELATED_TO
31,Triple Context Restoration And Query-Driven Feedback,Topic,15.5% Improvement In F1,Topic,RELATED_TO
32,Large Language Models,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
32,Retrieval-Augmented Generation,Topic,Graph-Based Rag Systems,Topic,RELATED_TO
32,Graph-Based Rag Systems,Topic,Align-Grag,Paper,COVERS
32,Align-Grag,Paper,Graphqa Benchmark,Topic,INCLUDES
33,Kaqg,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
33,Kaqg,Topic,Bloom'S Taxonomy,Topic,RELATED_TO
33,Kaqg,Topic,Item Response Theory,Topic,RELATED_TO
33,Kaqg,Topic,Ching Han Chen,Author,AUTHORED
33,Kaqg,Topic,Ming Fang Shiu,Author,AUTHORED
33,Kaqg,Topic,Github,Topic,RELATED_TO
33,Kaqg,Topic,Multi-Step Reasoning,Topic,RELATED_TO
33,Kaqg,Topic,Psychometrically Sound Questions,Topic,RELATED_TO
33,Kaqg,Topic,Knowledge Graphs,Topic,RELATED_TO
33,Kaqg,Topic,Educational Assessment Theory,Topic,RELATED_TO
33,Kaqg,Topic,Cross-Disciplinary Marriage,Topic,RELATED_TO
33,Kaqg,Topic,Difficulty Metrics,Topic,RELATED_TO
33,Kaqg,Topic,Irt Parameters,Topic,RELATED_TO
33,Kaqg,Topic,Kg Construction Scripts,Topic,RELATED_TO
33,Kaqg,Topic,Multi-Agent Reasoning Scheduler,Topic,RELATED_TO
33,Kaqg,Topic,Automatic Irt Validator,Topic,RELATED_TO
33,Kaqg,Topic,Reproducible Design,Topic,RELATED_TO
33,Kaqg,Topic,Ablation Studies,Topic,RELATED_TO
33,Kaqg,Topic,Cross-Domain Transfer Experiments,Topic,RELATED_TO
33,Kaqg,Topic,Shared Leaderboards,Topic,RELATED_TO
34,Cdf-Rag,Topic,Retrieval-Augmented Generation,Topic,COVERS
34,Cdf-Rag,Topic,Large Language Models,Topic,RELATED_TO
34,Cdf-Rag,Topic,Causal Relationships,Topic,RELATED_TO
34,Cdf-Rag,Topic,Causal Consistency,Topic,RELATED_TO
34,Cdf-Rag,Topic,Factual Accuracy,Topic,RELATED_TO
34,Cdf-Rag,Topic,Explainability,Topic,RELATED_TO
34,Cdf-Rag,Topic,Multi-Hop Causal Reasoning,Topic,RELATED_TO
34,Cdf-Rag,Topic,Causal Pathways,Topic,RELATED_TO
35,Do-Rag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
35,Do-Rag,Topic,Knowledge Graph,Topic,RELATED_TO
35,Do-Rag,Topic,Semantic Vector Retrieval,Topic,RELATED_TO
